sleep_hours,screen_time,tasks_planned,tasks_completed,study_hours,completion_rate,productivity_score
5,8,8,3,2,37.5,39.416666666666664
6,6,7,4,3,57.14285714285714,56.75
7,4,6,5,4,83.33333333333334,76.375
8,3,5,4,5,80.0,83.66666666666667
6,7,8,5,3,62.5,56.625
7,5,6,5,4,83.33333333333334,74.375
5,9,9,3,2,33.33333333333333,35.95833333333333
8,2,5,5,6,100.0,96.0
7,4,6,5,4,83.33333333333334,76.375
6,6,8,4,3,50.0,54.25
7,5,7,6,4,85.71428571428571,75.20833333333333
8,3,5,5,5,100.0,90.66666666666667
5,8,9,3,2,33.33333333333333,37.95833333333333
6,7,8,4,3,50.0,52.25
7,4,6,5,4,83.33333333333334,76.375
8,2,5,4,5,80.0,85.66666666666667
6,6,7,5,3,71.42857142857143,61.75
7,5,6,5,4,83.33333333333334,74.375
5,9,9,2,2,22.22222222222222,32.06944444444444
8,3,5,5,6,100.0,94.0
